id,illnessName,instGovernedBy,isTypeOf,relatedTo,subRelatedTo
45,Lymphoma,National Cancer Institute,Cancers,Lymphoma,"[u'Adult T-Cell Leukemia/Lymphoma (HTLV-1)', u'Anaplastic Large Cell Lymphoma', u'Angioimmunoblastic T-Cell Lymphoma', u'Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (CLL/SLL)', u'Diffuse Large B-cell Lymphoma in Adults (Beyond the Basics)', u'Follicular Lymphoma in Adults (Beyond the Basics)', u'General Information about AIDS-Related Lymphoma', u'General Information about Mycosis Fungoides and the Sezary Syndrome', u'General Information about Primary CNS Lymphoma', u'Mantle Cell Lymphoma', u'Marginal Zone Lymphoma', u'Peripheral T-Cell Lymphoma', u'T-Cell Lymphoma', u'What Is Waldenstrom Macroglobulinema?', u'24-hour urine protein', u'ACE blood test', u'After chemotherapy - discharge', u'B and T cell screen', u'B-cell leukemia/lymphoma panel', u'Bone marrow transplant', u'Bone marrow transplant - discharge', u'Bone-marrow transplant  - slideshow', u'Burkitt lymphoma', u'Chest radiation - discharge', u'Cryoglobulins', u'Cytology exam of pleural fluid', u'Immunofixation - blood', u'Immunofixation - urine', u'Lymph node biopsy', u'Lymphangiogram', u'Macroglobulinemia of Waldenstrom', u'Mediastinal tumor', u'Mediastinoscopy with biopsy', u'Non-Hodgkin lymphoma', u'Non-Hodgkin lymphoma - children', u'Quantitative nephelometry', u'Serum globulin electrophoresis', u'T-cell count', u'Hodgkin Disease']"
46,Melanoma,National Cancer Institute,Cancers,Melanoma,"[u'General Information about Intraocular (Uveal) Melanoma', u'Malignant Melanoma of the Foot', u'Ocular Melanoma', u'After chemotherapy - discharge', u'Melanoma', u'Melanoma of the eye', u'Urine melanin', u'Skin Cancer']"
47,Mesothelioma,National Cancer Institute,Cancers,Mesothelioma,"[u'Peritoneal Mesothelioma', u'Abdominal radiation - discharge', u'After chemotherapy - discharge', u'Chest radiation - discharge', u'Mesothelioma - benign-fibrous', u'Mesothelioma - malignant', u'Radiation enteritis', u'Asbestos']"
48,Mouth Cancer,National Cancer Institute,Cancers,Oral Cancer,"[u'Adenoid Cystic Carcinoma', u'General Information about Lip and Oral Cavity Cancer', u'After chemotherapy - discharge', u'Gum biopsy', u'Leukoplakia', u'Mouth and neck radiation - discharge', u'Oral cancer', u'Oropharynx lesion biopsy', u'Swallowing problems', u'Tongue biopsy', u'Mouth Disorders', u'Salivary Gland Cancer', u'Throat Cancer']"
49,Multiple Myeloma,National Cancer Institute,Cancers,Multiple Myeloma,"[u'24-hour urine protein', u'After chemotherapy - discharge', u'B and T cell screen', u'Bence-Jones protein - quantitative', u'Bone marrow transplant', u'Bone marrow transplant - discharge', u'Bone-marrow transplant  - slideshow', u'Cryoglobulins', u'Immunoelectrophoresis - blood', u'Immunoelectrophoresis - urine', u'Immunofixation - blood', u'Immunofixation - urine', u'Multiple myeloma', u'Protein electrophoresis - serum', u'Quantitative nephelometry', u'Serum globulin electrophoresis', u'T-cell count', u'Bone Marrow Diseases', u'Bone Marrow Transplantation', u'Lymphoma']"
50,Nasal Cancer,National Cancer Institute,Cancers,Nasal Cancer,"[u'Olfactory Neuroblastoma', u'After chemotherapy - discharge', u'Nose Injuries and Disorders']"
51,Nephroblastoma,National Cancer Institute,Cancers,Wilms Tumor,"[u'After chemotherapy - discharge', u'Wilms tumor', u'Kidney Cancer']"
52,Neuroblastoma,National Cancer Institute,Cancers,Neuroblastoma,"[u'After chemotherapy - discharge', u'Catecholamine blood test', u'Catecholamines - urine', u'Ganglioneuroblastoma', u'MIBG scintiscan', u'Neuroblastoma', u'Cancer in Children']"
53,Neurofibromatosis,National Institute of Neurological Disorders and Stroke,Cancers,Neurofibromatosis,"[u'About Neurofibromatosis 1', u'Neurofibromatosis', u'Neurofibromatosis Type 2: Information for Patients and Families', u'Schwannomatosis', u'Segmental NF: A Guide for Patients', u'Vestibular Schwannoma (Acoustic Neuroma) and Neurofibromatosis', u'Neurofibromatosis 2', u'Neurofibromatosis-1', u'Optic glioma']"
54,Ovarian Cancer,National Cancer Institute,Cancers,Ovarian Cancer,"[u'General Information about Ovarian Epithelial Cancer', u'General Information about Ovarian Germ Cell Tumors', u'General Information about Ovarian Low Malignant Potential Tumors', u'Primary Peritoneal Cancer', u'Abdominal exploration', u'Abdominal exploration  - slideshow', u'Abdominal radiation - discharge', u'Abdominal tap', u'After chemotherapy - discharge', u'Alpha fetoprotein', u'Arrhenoblastoma of ovary', u'BRCA1 and BRCA2 gene testing', u'CA-125 blood test', u'Diagnostic laparoscopy', u'Estradiol blood test', u'Ovarian cancer', u'Pelvic (between the hips) radiation - discharge', u'Pelvis MRI scan', u'Radiation enteritis', u'Sertoli-Leydig cell tumor', u'Transvaginal ultrasound', u'Ovarian Disorders']"
55,Parotid Gland Cancer,National Cancer Institute,Cancers,Salivary Gland Cancer,"[u'Adenoid Cystic Carcinoma', u'After chemotherapy - discharge', u'Salivary gland biopsy', u'Salivary gland tumors', u'Sialogram', u'Swallowing problems', u'Salivary Gland Disorders']"
56,Pheochromocytoma,National Cancer Institute,Cancers,Pheochromocytoma,"[u'Adrenalectomy', u'Catecholamine blood test', u'Catecholamines - urine', u'MIBG scintiscan', u'Pheochromocytoma', u'Adrenal Gland Disorders']"
57,Pituitary Tumors,National Cancer Institute,Cancers,Pituitary Tumors,"[u'Prolactinoma', u'ACTH blood test', u'Craniopharyngioma', u'Head MRI', u'Pituitary gland', u'Pituitary infarction', u'Pituitary tumor', u'Prolactin blood test', u'Prolactinoma', u'Stereotactic radiosurgery - discharge', u'Pituitary Disorders']"
58,Prostate Cancer,National Cancer Institute,Cancers,Prostate Cancer,"[u'After chemotherapy - discharge', u'Cryotherapy for prostate cancer', u'Digital rectal exam', u'Gleason grading system', u'Hormone therapy for prostate cancer', u'Pelvic (between the hips) radiation - discharge', u'Pelvic CT scan', u'Pelvis MRI scan', u'Prostate brachytherapy', u'Prostate brachytherapy - discharge', u'Prostate cancer', u'Prostate cancer - treatment', u'Prostate cancer staging', u'Prostate radiation - discharge', u'Prostatectomy  - slideshow', u'Radical prostatectomy', u'Radical prostatectomy - discharge', u'Understanding your prostate cancer risk', u'Prostate Cancer Screening', u'Prostate Diseases']"
59,Prostate Cancer Screening,National Cancer Institute,Cancers,Prostate Cancer Screening,"[u'Digital Rectal Exam (DRE)', u'Prostate Cancer Screening: Should You Get a PSA Test?', u'Prostate-Specific Antigen (PSA) Test', u""PSA Test: What's It for?"", u'What Tests Can Detect Prostate Cancer?', u'Digital rectal exam', u'Prostate biopsy', u'Prostate cancer screenings', u'PSA', u'Prostate Cancer']"
60,Rhabdomyosarcoma,National Cancer Institute,Cancers,Soft Tissue Sarcoma,"[u'What Is Rhabdomyosarcoma?', u'Adult soft tissue sarcoma', u'After chemotherapy - discharge', u'Rhabdomyosarcoma', u'Synovial biopsy', u""Kaposi's Sarcoma""]"
61,Seminoma,National Cancer Institute,Cancers,Testicular Cancer,"[u'Extragonadal Germ Cell Cancer (EGC)', u'Scrotal Masses', u'After chemotherapy - discharge', u'Alpha fetoprotein', u'Leydig cell tumor', u'Pelvis MRI scan', u'Scrotal ultrasound', u'Testicle lump', u'Testicular biopsy', u'Testicular cancer', u'Testicular self-examination', u'Testicular Disorders']"
62,Thymus Cancer,National Cancer Institute,Cancers,Thymus Cancer,"[u'Thymoma', u'Chest radiation - discharge', u'Mediastinal tumor']"
63,Thyroid Cancer,National Cancer Institute,Cancers,Thyroid Cancer,"[u'Hurthle Cell Cancer', u'After chemotherapy - discharge', u'Anaplastic thyroid cancer', u'Calcitonin blood test', u'Fine needle aspiration of the thyroid', u'Medullary carcinoma of thyroid', u'Thyroid cancer', u'Thyroid cancer - papillary carcinoma', u'Thyroid gland removal', u'Thyroid scan', u'Thyroid ultrasound', u'Thyroidectomy  - slideshow', u'Thyroid Diseases', u'Thyroid Tests']"
64,Vaginal Cancer,National Cancer Institute,Cancers,Vaginal Cancer,"[u'After chemotherapy - discharge', u'Pelvic (between the hips) radiation - discharge', u'Pelvic CT scan', u'Vaginal tumors', u'Vaginal Diseases', u'Vulvar Cancer']"
65,Vulvar Cancer,National Cancer Institute,Cancers,Vulvar Cancer,"[u'Do We Know What Causes Vulvar Cancer?', u'What Should You Ask Your Doctor about Vulvar Cancer?', u'After chemotherapy - discharge', u'Cancer - vulva', u'Pelvic (between the hips) radiation - discharge', u'Vaginal Cancer', u'Vaginal Diseases', u'Vulvar Disorders']"
66,A1C,National Institute of Diabetes and Digestive and Kidney Diseases,Diabetes Mellitus,A1C,[]
67,Blood Glucose,National Institute of Diabetes and Digestive and Kidney Diseases,Diabetes Mellitus,Blood Sugar,"[u'Diabetes and Exercise: When to Monitor Your Blood Sugar', u'A1C test', u'Blood sugar test - blood', u'Glucose screening and tolerance tests during pregnancy', u'Glucose urine test', u'Glycemic index and diabetes', u'Home blood sugar testing', u'Managing your blood sugar', u'Monitor blood glucose - slideshow', u'A1C', u'Carbohydrates', u'Diabetes', u'Diabetes Medicines', u'Diabetic Diet', u'Hyperglycemia', u'Hypoglycemia']"
68,Children and Diabetes,National Institute of Diabetes and Digestive and Kidney Diseases,Diabetes Mellitus,Diabetes in Children and Teens,"[u'A1C test', u'Blood sugar test - blood', u'Counting carbohydrates', u'Diabetes', u'Diabetes - keeping active', u'Diabetes - what to ask your doctor - type 2', u'Diabetes - when you are sick', u'Diabetes and exercise', u'Diabetes type 2 - meal planning', u'Giving an insulin injection', u'Glucose tolerance test - non-pregnant', u'Glucose urine test', u'High blood sugar', u'Insulin C-peptide', u'Ketones urine test', u'Microalbuminuria test', u'Oral hypoglycemics overdose', u'Serum ketones test', u'Snacking when you have diabetes', u'Sweeteners - sugar substitutes', u'Type 1 diabetes', u'Type 2 diabetes', u'Type 2 diabetes - self-care', u'A1C', u'Blood Sugar', u'Diabetes', u'Diabetes Complications', u'Diabetes Medicines', u'Diabetes Type 1', u'Diabetes Type 2', u'Diabetic Diet', u'Prediabetes']"
69,Diabetes,National Institute of Diabetes and Digestive and Kidney Diseases,Diabetes Mellitus,Diabetes,"[u'A1C test', u'ACE blood test', u'Anti-insulin antibody test', u'Blood sugar test - blood', u'Diabetes', u'Diabetes - keeping active', u'Diabetes - low blood sugar - self-care', u'Diabetes - tests and checkups', u'Diabetes - when you are sick', u'Diabetes and exercise', u'Giving an insulin injection', u'Glucose tolerance test - non-pregnant', u'Glucose urine test', u'High blood sugar', u'Immunizations - diabetes', u'Insulin C-peptide', u'Ketones urine test', u'Lactic acidosis', u'Preparing for surgery when you have diabetes', u'Serum ketones test', u'A1C', u'Blood Sugar', u'Diabetes and Pregnancy', u'Diabetes Complications', u'Diabetes in Children and Teens', u'Diabetes Medicines', u'Diabetes Type 1', u'Diabetes Type 2', u'Diabetic Diet', u'Diabetic Eye Problems', u'Diabetic Foot', u'Diabetic Heart Disease', u'Diabetic Kidney Problems', u'Diabetic Nerve Problems', u'Hyperglycemia', u'Hypoglycemia', u'Islet Cell Transplantation', u'Pancreas Transplantation', u'Prediabetes']"
70,Diabetes and Pregnancy,National Institute of Child Health and Human Development,Diabetes Mellitus,Diabetes and Pregnancy,"[u'Diabetes diet - gestational', u'Gestational diabetes', u'Gestational diabetes - self-care', u'Glucose screening and tolerance tests during pregnancy', u'Infant of diabetic mother', u'Diabetes', u'Health Problems in Pregnancy']"
71,Diabetes Complications,National Institute of Diabetes and Digestive and Kidney Diseases,Diabetes Mellitus,Diabetes Complications,"[u'Bone and Joint Problems Associated with Diabetes', u'Diabetes and Sexual and Urologic Problems', u'Diabetes, Heart Disease, and Stroke', u'Diabetic Coma', u'Diabetic Hypoglycemia', u'Diabetic Ketoacidosis', u'Gastroparesis', u'High Blood Pressure (Hypertension)', u'Hyperglycemia in Diabetes', u'Skin Complications', u'Diabetes - preventing heart attack and stroke', u'Diabetic hyperglycemic hyperosmolar syndrome', u'Diabetic ketoacidosis', u'Gastroparesis', u'Ketones urine test', u'Long term complications of diabetes', u'Potassium urine test', u'Serum ketones test', u'Diabetes', u'Diabetes and Pregnancy', u'Diabetes in Children and Teens', u'Diabetes Type 1', u'Diabetes Type 2', u'Diabetic Eye Problems', u'Diabetic Foot', u'Diabetic Heart Disease', u'Diabetic Kidney Problems', u'Diabetic Nerve Problems']"
72,Diabetes Medicines,National Institute of Diabetes and Digestive and Kidney Diseases,Diabetes Mellitus,Diabetes Medicines,"[u'Diabetes and Insulin', u'Diabetes Mellitus Type 1: Insulin Treatment (Beyond the Basics)', u'Diabetes Mellitus Type 2: Insulin Treatment (Beyond the Basics)', u'DPP-4 Inhibitors: Incretin-Based Medicine for Type 2 Diabetes', u'GLP-1 Receptor Agonists', u'Insulin', u'Insulin Secretagogues', u'Oral Diabetes Drugs', u'Oral Medication', u'Other Injectable Medications', u'Treating Type 2 Diabetes', u'Type 2 Diabetes and TZDs (Thiazolidinediones)', u'Diabetes - low blood sugar - self-care', u'Giving an insulin injection', u'Lactic acidosis', u'Oral hypoglycemics overdose', u'Blood Sugar', u'Diabetes', u'Diabetes in Children and Teens', u'Diabetes Type 1', u'Diabetes Type 2']"
73,Diabetes Type 1,National Institute of Diabetes and Digestive and Kidney Diseases,Diabetes Mellitus,Diabetes Type 1,"[u'A1C test', u'Anti-insulin antibody test', u'Antithyroglobulin antibody', u'Diabetes - keeping active', u'Diabetes - low blood sugar - self-care', u'Diabetes - tests and checkups', u'Diabetes - when you are sick', u'Diabetes and exercise', u'Diabetic ketoacidosis', u'Giving an insulin injection', u'Glucose tolerance test - non-pregnant', u'Ketones urine test', u'Type 1 diabetes', u'A1C', u'Blood Sugar', u'Diabetes', u'Diabetes Complications', u'Diabetes in Children and Teens', u'Diabetes Medicines', u'Diabetes Type 2', u'Diabetic Diet']"
74,Diabetes Type 2,National Institute of Diabetes and Digestive and Kidney Diseases,Diabetes Mellitus,Diabetes Type 2,"[u'All about Insulin Resistance', u'A1C test', u'Diabetes - what to ask your doctor - type 2', u'Diabetes type 2 - meal planning', u'Giving an insulin injection', u'High blood sugar', u'Type 2 diabetes', u'Type 2 diabetes - self-care', u'A1C', u'Blood Sugar', u'Diabetes', u'Diabetes Complications', u'Diabetes in Children and Teens', u'Diabetes Medicines', u'Diabetes Type 1', u'Diabetic Diet', u'Prediabetes']"
75,Diabetic Diet,National Institute of Diabetes and Digestive and Kidney Diseases,Diabetes Mellitus,Diabetic Diet,"[u'Alcohol', u'All about Carbohydrate Counting', u'Artificial Sweeteners and Other Sugar Substitutes', u'Best Food Choices', u'Carbohydrate Counting and Diabetes', u'Dairy', u'Diabetes Nutrition: Including Sweets in Your Meal Plan', u'Diabetes Superfoods', u'Grains and Starchy Vegetables', u'Managing Diabetes: Looking Beyond Carbs', u'Non-Starchy Vegetables', u'Protein Foods', u'Understanding Carbohydrates', u'What Can I Drink?', u'Counting carbohydrates', u'Diabetes diet - gestational', u'Diabetes type 2 - meal planning', u'Glycemic index and diabetes', u'Snacking when you have diabetes', u'Sweeteners - sugar substitutes', u'Blood Sugar', u'Diabetes', u'Diabetes in Children and Teens', u'Diabetes Type 1', u'Diabetes Type 2']"
76,Diabetic Eye Problems,National Eye Institute,Diabetes Mellitus,Diabetic Eye Problems,"[u'Diabetes - eye care', u'Diabetes - retinal conditions', u'Diabetes and eye disease', u'Diabetes eye exams', u'Fluorescein angiography', u'Intravitreal injection', u'Laser photocoagulation -- eye', u'Retina', u'Standard ophthalmic exam', u'Diabetes', u'Diabetes Complications', u'Vision Impairment and Blindness']"
77,Diabetic Foot,National Institute of Diabetes and Digestive and Kidney Diseases,Diabetes Mellitus,Diabetic Foot,"[u'Diabetes - foot ulcers', u'Diabetes - taking care of your feet', u'Foot amputation - discharge', u'Leg or foot amputation - dressing change', u'Diabetes', u'Diabetes Complications', u'Diabetic Nerve Problems', u'Foot Health', u'Foot Injuries and Disorders']"
78,Diabetic Heart Disease,National Institute of Diabetes and Digestive and Kidney Diseases,Diabetes Mellitus,Diabetic Heart Disease,"[u'Diabetes - preventing heart attack and stroke', u'Cardiomyopathy', u'Coronary Artery Disease', u'Diabetes', u'Diabetes Complications', u'Heart Failure']"
79,Diabetic Kidney Problems,National Institute of Diabetes and Digestive and Kidney Diseases,Diabetes Mellitus,Diabetic Kidney Problems,"[u'Albuminuria', u'Glomerular Diseases', u'Nephrotic Syndrome in Adults', u'Diabetes and kidney disease', u'Microalbuminuria test', u'Protein electrophoresis - urine', u'Protein urine test', u'Creatinine', u'Diabetes', u'Diabetes Complications', u'Kidney Failure', u'Kidney Tests', u'Kidney Transplantation']"
80,Diabetic Nerve Problems,National Institute of Diabetes and Digestive and Kidney Diseases,Diabetes Mellitus,Diabetic Nerve Problems,"[u'Additional Types of Neuropathy', u'Autonomic Neuropathy', u'Diabetes and Sexual and Urologic Problems', u'Gastroparesis', u'Cranial mononeuropathy III - diabetic type', u'Diabetes and nerve damage', u'Nerve damage from diabetes - self-care', u'Diabetes', u'Diabetes Complications', u'Diabetic Foot', u'Peripheral Nerve Disorders']"
81,High Blood Glucose,National Institute of Diabetes and Digestive and Kidney Diseases,Diabetes Mellitus,Hyperglycemia,"[u'Diabetic hyperglycemic hyperosmolar syndrome', u'Diabetic ketoacidosis', u'High blood sugar', u'Hyperglycemia - infants', u'Ketones urine test', u'Serum ketones test', u'Blood Sugar']"
82,Insulin Resistance; Prediabetes,National Institute of Diabetes and Digestive and Kidney Diseases,Diabetes Mellitus,Metabolic Syndrome,"[u'Metabolic syndrome', u'Angina', u'Cholesterol', u'Diabetes', u'Heart Diseases', u'Metabolic Disorders', u'Obesity', u'Prediabetes']"
